514301701158117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ ENV AL BOLS POLIENT TRANS X 100 ML (EMB HOSP), IS5
514301701158117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ ENV AL BOLS POLIENT TRANS X 100 ML (EMB HOSP), IS5
514301701158117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ ENV AL BOLS POLIENT TRANS X 100 ML (EMB HOSP), IS5
514301701158117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ ENV AL BOLS POLIENT TRANS X 100 ML (EMB HOSP), IS5
514301701158117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ ENV AL BOLS POLIENT TRANS X 100 ML (EMB HOSP), IS5
514301701158117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ ENV AL BOLS POLIENT TRANS X 100 ML (EMB HOSP), IS5
514301701158117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ ENV AL BOLS POLIENT TRANS X 100 ML (EMB HOSP), IS5
514301701158117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ ENV AL BOLS POLIENT TRANS X 100 ML (EMB HOSP), IS5
514301701158117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ ENV AL BOLS POLIENT TRANS X 100 ML (EMB HOSP), IS5
514301701158117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ IV ENV AL BOLS PLAS TRANS X 100 ML (SIST FECH), IS5
514301701158117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ IV ENV AL BOLS PLAS TRANS X 100 ML (SIST FECH), IS5
