63906; GLIMEPIRIDA MG ; GLIMEPIRIDA; GLIMEPIRIDA; CPR 2 MG x 30; A4H

57520; GENFIBROZILA MG ; GENFIBROZILA; GENFIBROZILA; CPR 600 MG x 30; A4H

103497; GASTRIUM ; GASTRIUM; NOT FOUND; CAPS GELATIN 40 MG x 28; A4H

53045; GASTRIUM ; GASTRIUM; NOT FOUND; CAPS GELATIN 20 MG x 14; A4H

50705; GASTRIUM ; GASTRIUM; NOT FOUND; CAPS GELATIN 20 MG x 7; A4H

87691; GASTRIUM ; GASTRIUM; NOT FOUND; CAPS GELATIN 20 MG x 56; A4H

87694; GASTRIUM ; GASTRIUM; NOT FOUND; CAPS GELATIN 20 MG x 28; A4H

63907; GLIMEPIRIDA MG ; GLIMEPIRIDA; GLIMEPIRIDA; CPR 4 MG x 30; A4H

59072; GABAPENTINA MG ; GABAPENTINA; GABAPENTINA; CAPS BLISTER 300 MG x 30; A4H

63905; GLIMEPIRIDA MG ; GLIMEPIRIDA; GLIMEPIRIDA; CPR 1 MG x 30; A4H

51178; GASTRIUM ; GASTRIUM; NOT FOUND; CAPS GELATIN 10 MG x 14; A4H

58574; GLIBENCLAMIDA MG ; GLIBENCLAMIDA; GLIBENCLAMIDA; CPR 5 MG x 30; A4H

55741; GASTRIUM ; GASTRIUM; NOT FOUND; CAPS GELATIN 40 MG x 7; A4H

32714; GERIATON ; GERIATON; NOT FOUND; CAPS x 30; A4H

84948; GLICOLIVE ; GLICOLIVE; NOT FOUND; PO ENV 1500 MG 4 G x 30; A4H

51485; GINO-CAUTEREX ; GINO CAUTEREX; NOT FOUND; POM.VAG.APLI 30 G x 1; A4H

82600; GLUCERNA ; GLUCERNA; NOT FOUND; LIQ 1.5SFRTH 500 ML x 1; ABT

70063; GLUCERNA SR ; GLUCERNA SR; NOT FOUND; LATA BAUNIL. 400 G x 1; ABT

150162; GLUCERNA SR ; GLUCERNA SR; NOT FOUND; LIQ BAUN 200 ML x 1; ABT

86431; GLUCERNA ; GLUCERNA; NOT FOUND; TER 1.5KCAL 200 ML x 1; ABT

54207; GLUCERNA ; GLUCERNA; NOT FOUND; LIQD BAUNIL. 1000 ML x 1; ABT

52507; GLUCERNA ; GLUCERNA; NOT FOUND; LIQD BAUNIL. 237 ML x 1; ABT

150161; GLUCERNA SR ; GLUCERNA SR; NOT FOUND; LIQ CHOC 200 ML x 1; ABT

113622; GLUCERNA SR ; GLUCERNA SR; NOT FOUND; LIQ CHOCOLAT 230 ML x 3; ABT

77849; GLUCERNA SR ; GLUCERNA SR; NOT FOUND; LIQ CHOCOLAT 230 ML x 1; ABT

71903; GLUCERNA SR ; GLUCERNA SR; NOT FOUND; LATA LIMAO 400 G x 1; ABT

70130; GLUCERNA SR ; GLUCERNA SR; NOT FOUND; LIQ BAUNILHA 230 ML x 1; ABT

113621; GLUCERNA SR ; GLUCERNA SR; NOT FOUND; LIQ BAUNILHA 230 ML x 3; ABT

