121301, PEDIAVIT , PEDIAVIT, NOT FOUND, LIQ MINIMUM 50 ML x 1, A07

121307, PEDIAVIT , PEDIAVIT, NOT FOUND, LIQ VI A D C 50 ML x 1, A07

121318, PEDIAFER , PEDIAFER, NOT FOUND, LIQ SULF FER 50 ML x 1, A07

121277, PEDIAVIT , PEDIAVIT, NOT FOUND, LIQ VIT D 50 ML x 1, A07

121304, PEDIAVIT , PEDIAVIT, NOT FOUND, LIQ MULTI 50 ML x 1, A07

133319, PRO CALCIO D3 , PRO CALCIO D3, NOT FOUND, CAPS 500 MG x 60, A0N

123414, PRO CALCIO B12 , PRO CALCIO B12, NOT FOUND, LIQUIDO 250 ML x 1, A0N

132991, PANTOVIT , PANTOVIT, NOT FOUND, LIQ FLAC 10 ML x 60, A0N

113859, PANTOVIT , PANTOVIT, NOT FOUND, FLAC SAB BOL 10 ML x 60, A0N

132989, PRO CALCIO D3 , PRO CALCIO D3, NOT FOUND, CAPS 500 MG x 30, A0N

114268, PANTOVIT , PANTOVIT, NOT FOUND, FLAC SAB ACA 10 ML x 60, A0N

152774, PLANTA GOLD , PLANTA GOLD, NOT FOUND, SACH LARANJA 5 G x 30, A0N

133316, PLANTA GOLD , PLANTA GOLD, NOT FOUND, PO RE GOR SA 5 G x 10, A0N

135428, PRO-CALCIO D3 , PRO CALCIO D3, NOT FOUND, CAPS CC VD 600 MG x 60, A0N

154232, POLIVIRON , POLIVIRON, NOT FOUND, CPR x 60, A0N

74680, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP IV 6 MG 50 ML x 1, A1F

74684, PANTIUM , PANTIUM, NOT FOUND, F.AMP IV 6 MG 5 ML x 1, A1F

74681, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP IV 6 MG 5 ML x 1, A1F

77031, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 280, A1F

74679, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP IV 6 MG 16.7 ML x 1, A1F

77035, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 280, A1F

77217, PREV-KEL , PREV KEL, NOT FOUND, GEL. 15 G x 1, A3N

8831, PURINETHOL , PURINETHOL, NOT FOUND, CPR 50 MG x 25, A3N

46620, PROEPA , PROEPA, NOT FOUND, CAPS 1 G x 45, A4H

51313, PARASIN , PARASIN, NOT FOUND, CPR MASC 400 MG x 1, A4H

55297, POSTINOR-2 , POSTINOR 2, NOT FOUND, CPR 0.75 MG x 2, A4H

59105, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 30, A4H

91032, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 28, A4H

79256, PURIANCE , PURIANCE, NOT FOUND, SABAO 80 G x 1, A4H

86663, PURIANCE , PURIANCE, NOT FOUND, GEL RENO 60 G x 1, A4H

57791, PRELONE , PRELONE, NOT FOUND, CPR 20 MG x 10, A4H

78195, PRELONE , PRELONE, NOT FOUND, GOTAS 11 MG 20 ML x 1 (/ML), A4H

51314, PARASIN , PARASIN, NOT FOUND, SUSP ORAL 40 MG 10 ML x 1 (/ML), A4H

123834, PREDNISOLONA MG , PREDNISOLONA, PREDNISOLONA, CPR 20 MG x 10, A4H

91031, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 14, A4H

58628, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 15, A4H

85198, PROLIVE , PROLIVE, NOT FOUND, CAPS 55 MG x 30, A4H

64261, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), A4H

70219, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 750 MG x 200, A4H

67741, POSTINOR UNO , POSTINOR UNO, NOT FOUND, CPR 1.50 MG x 1, A4H

70220, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 750 MG x 20, A4H

123836, PREDNISOLONA MG , PREDNISOLONA, PREDNISOLONA, CPR 5 MG x 20, A4H

30620, PARAQUEIMOL , PARAQUEIMOL, NOT FOUND, POM. 50 G x 1, A4H

77823, PRELONE , PRELONE, NOT FOUND, CPR 5 MG x 10, A4H

56760, PROSTAVASIN , PROSTAVASIN, NOT FOUND, F.AMP LIOF 20 Y x 10, A4H

57790, PRELONE , PRELONE, NOT FOUND, CPR 5 MG x 20, A4H

91033, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 14, A4H

154075, PROVANCE , PROVANCE, NOT FOUND, CPR MAST x 30, A4H

54906, PRELONE , PRELONE, NOT FOUND, XAROPE 3 MG 120 ML x 1 (/ML), A4H

91034, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 28, A4H

137397, PREGABALINA MG , PREGABALINA, PREGABALINA, CAPS GEL 75 MG x 30, A4H

54905, PRELONE , PRELONE, NOT FOUND, XAROPE 3 MG 60 ML x 1 (/ML), A4H

144382, PURIANCE , PURIANCE, NOT FOUND, SAB LIQ 140 ML x 1, A4H

85197, PROLIVE , PROLIVE, NOT FOUND, CAPS 55 MG x 15, A4H

154074, PROVANCE , PROVANCE, NOT FOUND, CPR MAST x 10, A4H

88858, PROEPA GESTA , PROEPA GESTA, NOT FOUND, CAPS x 30, A4H

59619, PREVAX , PREVAX, NOT FOUND, CPR 15 MG x 10, A4H

60114, PROPOLIS , PROPOLIS, NOT FOUND, SPR.HORT/LIM 30 ML x 1, A8N

