117180; NOTUSS TSS ; NOTUSS TSS; NOT FOUND; XAR PED 1.50 MG 120 ML x 1 (/ML); A4H

75870; NOVOFER NF ; NOVOFER NF; NOT FOUND; SUSP PED 52 MG 120 ML x 1 (/ML); A4H

33363; NOVOFER ; NOVOFER; NOT FOUND; LIQD 120 ML x 1; A4H

45688; NOVACORT ; NOVACORT; NOT FOUND; POM. 30 G x 1; A4H

48409; NISULID ; NISULID; NOT FOUND; SUP AD 100 MG x 12; A4H

51203; NOTUSS ; NOTUSS; NOT FOUND; XAR. AD 120 ML x 1; A4H

52540; NISULID ; NISULID; NOT FOUND; CPR DISPER. 100 MG x 12; A4H

159347; NOTUSS TSS ; NOTUSS TSS; NOT FOUND; XAR. AD 3 MG 60 ML x 1 (/ML); A4H

56329; NOTUSS ; NOTUSS; NOT FOUND; PAST MENTA x 12; A4H

79251; NUTREL ; NUTREL; NOT FOUND; CREME SUAVE 60 G x 1; A4H

47282; NITRENCORD ; NITRENCORD; NOT FOUND; CPR 10 MG x 30; A4H

28946; NECAMIN ; NECAMIN; NOT FOUND; SUSP 100 MG 30 ML x 1 (/5ML); A4H

49495; NISULID ; NISULID; NOT FOUND; GOTAS 50 MG 15 ML x 1 (/ML); A4H

56747; NOVOCILIN ; NOVOCILIN; NOT FOUND; SUSP 400 MG 100 ML x 1 (/5ML); A4H

65123; NAPROXENO MG ; NAPROXENO; NAPROXENO; CPR 500 MG x 20; A4H

47686; NISULID ; NISULID; NOT FOUND; SUSP 1 % 60 ML x 1; A4H

51204; NOTUSS ; NOTUSS; NOT FOUND; XAR. PED. 120 ML x 1; A4H

30095; NOOTRON ; NOOTRON; NOT FOUND; CPR 400 MG x 60; A4H

55037; NOVAMOX ; NOVAMOX; NOT FOUND; CPR REVEST 875 MG x 14 (/125); A4H

56749; NOVOCILIN ; NOVOCILIN; NOT FOUND; CPR BLISTER 875 MG x 20; A4H

117179; NOTUSS TSS ; NOTUSS TSS; NOT FOUND; XAR. AD 3 MG 120 ML x 1 (/ML); A4H

49654; NOVOCILIN ; NOVOCILIN; NOT FOUND; CAPS 500 MG x 21; A4H

63553; NITRENDIPINO MG ; NITRENDIPINO; NITRENDIPINO; CPR REVEST 10 MG x 30; A4H

59271; NORFLOXACINO MG ; NORFLOXACINO; NORFLOXACINO; CPR REVEST 400 MG x 7; A4H

55038; NOVAMOX ; NOVAMOX; NOT FOUND; CPR REVEST 875 MG x 20 (/125); A4H

47471; NOVOCILIN ; NOVOCILIN; NOT FOUND; CAPS 500 MG x 15; A4H

45686; NOVACORT ; NOVACORT; NOT FOUND; CREME 30 G x 1; A4H

75868; NOVOFER NF ; NOVOFER NF; NOT FOUND; CPR REVEST 126 MG x 45; A4H

72569; NEO-DECAPEPTYL ; NEO DECAPEPTYL; NOT FOUND; F.AMP LP+DIL 11.2 MG 2 ML x 1; A4H

73302; NIMESULIDA MG ; NIMESULIDA; NIMESULIDA; GOTAS 50 MG 15 ML x 1 (/ML); A4H

55266; NOVOFER ; NOVOFER; NOT FOUND; DRAG x 45; A4H

159348; NOTUSS TSS ; NOTUSS TSS; NOT FOUND; XAR. PED 1.50 MG 60 ML x 1 (/ML); A4H

33361; NOVOFER ; NOVOFER; NOT FOUND; GOTAS 30 ML x 1; A4H

28945; NECAMIN ; NECAMIN; NOT FOUND; CPR 100 MG x 6; A4H

112558; NUTREL ; NUTREL; NOT FOUND; GEL LIMPEZA 100 ML x 1; A4H

59272; NORFLOXACINO MG ; NORFLOXACINO; NORFLOXACINO; CPR REVEST 400 MG x 14; A4H

46358; NEO-DECAPEPTYL ; NEO DECAPEPTYL; NOT FOUND; F AMP+DIL 3.75 MG 2 ML x 1; A4H

55767; NOVAMOX ; NOVAMOX; NOT FOUND; SUSP ORAL 457 MG 100 ML x 1 (/5ML); A4H

50807; NOVOCILIN ; NOVOCILIN; NOT FOUND; SUSP 250 MG 150 ML x 1 (/5ML); A4H

47808; NISULID ; NISULID; NOT FOUND; GRAN ENVELO. 100 MG 2 G x 12; A4H

75869; NOVOFER NF ; NOVOFER NF; NOT FOUND; GOTAS PED 263 MG 30 ML x 1 (/ML); A4H

73303; NIMESULIDA MG ; NIMESULIDA; NIMESULIDA; CPR 100 MG x 12; A4H

55036; NOVAMOX ; NOVAMOX; NOT FOUND; SUSP ORAL 457 MG 70 ML x 1 (/5ML); A4H

55476; NISULID GEL ; NISULID GEL; NOT FOUND; GEL. 2 % 40 G x 1; A4H

47036; NITRENCORD ; NITRENCORD; NOT FOUND; CPR 20 MG x 30; A4H

56748; NOVOCILIN ; NOVOCILIN; NOT FOUND; CPR BLISTER 875 MG x 14; A4H

63554; NITRENDIPINO MG ; NITRENDIPINO; NITRENDIPINO; CPR REVEST 20 MG x 30; A4H

47281; NISULID ; NISULID; NOT FOUND; CPR 100 MG x 12; A4H

51202; NIFELAT ; NIFELAT; NOT FOUND; CAPS RETARD 10 MG x 28 (/25); A4H

45685; NOVACORT ; NOVACORT; NOT FOUND; CREME 10 G x 1; A4H

65122; NAPROXENO MG ; NAPROXENO; NAPROXENO; CPR 250 MG x 15; A4H

50120; NIFELAT ; NIFELAT; NOT FOUND; CAPS RETARD 20 MG x 28 (/50); A4H

28896; NOOTRON ; NOOTRON; NOT FOUND; LIQD INF 60 MG 110 ML x 1 (/ML); A4H

55470; NEURIUM ; NEURIUM; NOT FOUND; CPR 100 MG x 30; ABT

49556; NIAR ; NIAR; NOT FOUND; CPR 5 MG x 60; ABT

32525; NOCTAL ; NOCTAL; NOT FOUND; CPR 2 MG x 20; ABT

49123; NIAR ; NIAR; NOT FOUND; CPR 5 MG x 30; ABT

159346; NEO FREESTYLE OPTI ; NEO FREESTYLE OPTI; NOT FOUND; TIRAS TESTE x 100; ABT

159343; NEO FREESTYLE OPTI ; NEO FREESTYLE OPTI; NOT FOUND; TIRAS TESTE x 10; ABT

159345; NEO FREESTYLE OPTI ; NEO FREESTYLE OPTI; NOT FOUND; TIRAS TESTE x 50; ABT

53388; NEPRO HP ; NEPRO HP; NOT FOUND; LIQD BAUNIL. 237 ML x 1; ABT

159344; NEO FREESTYLE OPTI ; NEO FREESTYLE OPTI; NOT FOUND; TIRAS TESTE x 25; ABT

61732; NAROPIN ; NAROPIN; NOT FOUND; POLYAMP SP 10 MG 10 ML x 5 (/ML); AZN

52673; NAROPIN ; NAROPIN; NOT FOUND; POLYAMP SP 7.50 MG 20 ML x 5 (/ML); AZN

52674; NAROPIN ; NAROPIN; NOT FOUND; POLYAMP SP 10 MG 20 ML x 5 (/ML); AZN

58134; NEXIUM ; NEXIUM; NOT FOUND; CPR REVEST 20 MG x 7; AZN

58137; NEXIUM ; NEXIUM; NOT FOUND; CPR REVEST 40 MG x 14; AZN

52672; NAROPIN ; NAROPIN; NOT FOUND; POLYAMP SP 2 MG 20 ML x 5 (/ML); AZN

72005; NEXIUM ; NEXIUM; NOT FOUND; CPR REVEST 40 MG x 28; AZN

58135; NEXIUM ; NEXIUM; NOT FOUND; CPR REVEST 20 MG x 14; AZN

58136; NEXIUM ; NEXIUM; NOT FOUND; CPR REVEST 40 MG x 7; AZN

67487; NEXIUM ; NEXIUM; NOT FOUND; F.AMP 40 MG 5 ML x 10; AZN

46632; NOLVADEX-D ; NOLVADEX D; NOT FOUND; CPR 20 MG x 30; AZN

30022; NOLVADEX ; NOLVADEX; NOT FOUND; CPR 10 MG x 30; AZN

72004; NEXIUM ; NEXIUM; NOT FOUND; CPR REVEST 20 MG x 28; AZN

64664; NIMOBAL ; NIMOBAL; NOT FOUND; CPR REVEST 30 MG x 30; BAL

64236; NIMESUBAL ; NIMESUBAL; NOT FOUND; CPR BLISTER 100 MG x 12; BAL

63616; NORFLOXACINO MG ; NORFLOXACINO; NORFLOXACINO; CPR REVEST 400 MG x 14; BF8

