507709401166419, DEXADERMIL, DEXADERMIL, NOT FOUND, 1MG/G CREM DERM CT BG AL X 10 G, NO_ACR
515106301160411, DEXAMETAX, DEXAMETAX, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 10 G, NO_ACR
527300501114313, DILENA, DILENA, NOT FOUND, 2MG COM X 11/ 2MG + 10 MG COM X 10 CT ENV AL X BL PLAST INC X 21, NO_ACR
521122801169410, DALAP, DALAP, NOT FOUND, 1.0 MG/G GEL DERM CTBG POLIET OPC X 30 G, NO_ACR
541312030006204, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 10 FA VD INC + 10 AMP DIL X 10 ML , NO_ACR
541312030006304, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML , NO_ACR
541312030006404, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 10 ML , NO_ACR
541312030006504, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 10 FA VD INC, NO_ACR
541312030006604, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 20 FA VD INC, NO_ACR
541312030006704, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO INJ CX 100 FA VD INC, NO_ACR
541312030005904, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 10 FA VD INC + 10 AMP DIL X 10 ML , NO_ACR
541312030006004, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML , NO_ACR
541312030006104, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 10 ML , NO_ACR
541312030006804, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 10 FA VD INC, NO_ACR
541312030006904, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 20 FA VD INC, NO_ACR
541312030007004, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO INJ CX 100 FA VD INC, NO_ACR
501807101151413, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 10 FA VD INC + 10 AMP DIL X 10 ML , NO_ACR
501807102156419, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 20 FA VD INC + 20 AMP DIL X 10 ML , NO_ACR
501807103152417, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP) , NO_ACR
501807107158411, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 10 FA VD INC (EMB HOSP), NO_ACR
501807108154418, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 100 FA VD INC, NO_ACR
501807111155411, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 20 FA VD INC (EMB HOSP), NO_ACR
501807104159415, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 10 FA VD INC + 10 AMP DIL X 10 ML , NO_ACR
501807105155413, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 20 FA VD INC + 20 AMP DIL X 10 ML , NO_ACR
501807106151411, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP) , NO_ACR
501807109150416, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 100 FA VD INC (EMB HOSP), NO_ACR
501807110159413, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 20 FA VD INC (EMB HOSP), NO_ACR
501807112151411, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 10 FA VD INC (EMB HOSP), NO_ACR
